id,upc,maquina_id,Material,multiplicador,multiplicador_socio,texto,descargada,cancelado,created_at,updated_at,deleted_at,imagen,active
ID8411700012217,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,PREPARADO LACTEO PULEVA PEQUES-3 BRIK L,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411700012415,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,PREPARADO LACTEO PEQUES 3 CEREAL LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID7613038930541,7610000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE NESTLE CRECIMIENTO 1+PROTEC LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410100014289,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE NESTLE CRECIMIENTO 1+PROTEC LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID7613033296321,7610000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE NESTLE CRECIMIENTO 1+PROTEC LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410100014333,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE NESTLE ENERGY CRECIMIENTO LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID7613039765258,7610000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE NESTLE ENERGY CRECIMIENTO LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID7613034638649,7610000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Brick,12.5,25,LECHE CRECIMIENTO NESTLE GALLETA LTR,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8410700002426,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Lata,25,50,CERVEZA SIN GLUTEN AMBAR 33cl,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
ID8411327001885,8410000000000,c7822fc2-276d-424b-8e77-a0f85e1bb1be,Lata,25,50,CERVEZA SIN GLUTEN MAHOU 33cl,0,0,2021-10-15,2021-10-15,2021-10-15,null,1
