Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
Obispo/Contrueces,T34,"2021-12-13 09:11:00",8410297112041,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:11:00",8410297112041,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",5449000000996,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",5449000000996,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",8411327122016,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",8411327122016,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",5449000000996,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",5449000000996,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",8411327122016,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:12:00",8410297112041,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",8411327122016,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",5449000000996,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",8410297112041,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",5449000000996,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",5449000000996,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",8480024761071,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",8480017210708,1,2010008697063
Obispo/Contrueces,T34,"2021-12-13 09:13:00",8480017096241,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Cuatro Jueces",T69,"2021-12-13 09:35:00",8480000104892,1,2010007753197
"Cuatro Jueces",T69,"2021-12-13 09:35:00",8480000104915,1,2010007753197
"Cuatro Jueces",T69,"2021-12-13 09:36:00",8480000104892,1,2010007753197
"Cuatro Jueces",T69,"2021-12-13 09:36:00",8410793296139,1,2010007753197
"Cuatro Jueces",T69,"2021-12-13 09:36:00",8480000104915,1,2010007753197
"Posada Llanera",T56,"2021-12-13 09:52:00",8480024733955,0,008d774b-1527-467b-8be9-e2a23a6ac097
